IATA,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
AGS,8644.0,4321.0,4323.0,78.6,78.6,78.63,58.11,303.22,8.01,7.78,135.0,8.0,7.0,11.0,18.0
EVV,8567.0,4284.0,4283.0,68.04,68.04,69.69,48.44,262.36,4.04,6.15,160.0,4.0,5.0,4.0,9.0
SGF,8475.0,4216.0,4259.0,96.64,96.64,98.88,92.02,413.49,5.75,3.98,121.0,6.0,5.0,5.0,10.0
FAR,8439.0,4220.0,4219.0,78.62,78.62,81.88,50.19,385.79,1.37,4.36,95.0,3.0,5.0,3.0,8.0
MFR,8422.0,4250.0,4172.0,72.94,72.94,77.7,136.75,322.22,7.26,2.62,73.0,4.0,6.0,5.0,11.0
SRQ,8412.0,4206.0,4206.0,113.99,113.99,114.82,93.75,632.23,2.29,5.44,28.0,2.0,10.0,12.0,22.0
JAC,8297.0,4156.0,4141.0,82.1,82.1,83.89,93.68,402.33,5.53,2.41,80.0,5.0,9.0,10.0,19.0
RAP,8228.0,4093.0,4135.0,80.98,80.98,83.27,132.75,418.72,3.59,2.4,46.0,5.0,7.0,7.0,14.0
BGR,8155.0,4077.0,4078.0,60.46,60.46,64.37,44.08,219.54,4.39,6.6,181.0,8.0,2.0,2.0,4.0
ABE,8140.0,4071.0,4069.0,86.48,86.48,87.24,59.85,368.03,2.84,4.41,111.0,8.0,8.0,7.0,15.0
BZN,8085.0,4043.0,4042.0,91.97,91.97,93.2,131.85,526.0,3.11,2.55,50.0,4.0,8.0,7.0,15.0
ACV,8024.0,4027.0,3997.0,60.48,60.48,63.94,115.01,210.5,8.74,1.8,112.0,7.0,3.0,4.0,7.0
LFT,7930.0,3966.0,3964.0,70.97,70.97,71.34,51.56,263.79,5.19,2.02,60.0,11.0,10.0,7.0,17.0
EUG,7883.0,3949.0,3934.0,65.59,65.59,68.43,117.54,330.61,6.99,1.87,76.0,0.0,4.0,5.0,9.0
MBS,7880.0,3939.0,3941.0,60.63,60.63,59.21,38.13,182.47,2.47,6.52,118.0,0.0,3.0,3.0,6.0
GJT,7764.0,3881.0,3883.0,61.89,61.89,66.74,120.21,214.91,8.26,3.14,72.0,2.0,6.0,22.0,28.0
CHA,7672.0,3836.0,3836.0,65.61,65.61,64.71,47.56,221.81,3.95,9.99,126.0,3.0,7.0,13.0,20.0
PIA,7515.0,3758.0,3757.0,69.48,69.48,69.43,56.05,266.6,5.72,8.26,149.0,1.0,5.0,6.0,11.0
TLH,7469.0,3734.0,3735.0,78.47,78.47,79.74,95.29,324.61,6.32,7.73,35.0,5.0,9.0,5.0,14.0
AVL,7363.0,3680.0,3683.0,74.41,74.41,74.19,55.21,281.23,5.17,8.81,151.0,4.0,6.0,7.0,13.0
MGM,7285.0,3645.0,3640.0,73.54,73.54,74.09,57.22,289.45,10.76,12.54,52.0,6.0,7.0,8.0,15.0
MLU,7020.0,3509.0,3511.0,76.21,76.21,78.22,65.71,348.97,2.96,3.66,50.0,4.0,6.0,6.0,12.0
ILM,6670.0,3337.0,3333.0,71.54,71.54,75.54,51.28,293.39,0.85,3.6,86.0,4.0,5.0,3.0,8.0
IDA,6631.0,3317.0,3314.0,47.95,47.95,51.9,45.44,187.92,3.92,2.14,68.0,2.0,5.0,10.0,15.0
FSD,6613.0,3305.0,3308.0,73.68,73.68,75.89,71.48,333.12,2.95,7.09,84.0,6.0,6.0,3.0,9.0
MSO,6533.0,3268.0,3265.0,100.62,100.62,103.3,134.94,627.01,1.82,3.47,32.0,7.0,5.0,6.0,11.0
AEX,6524.0,3261.0,3263.0,67.13,67.13,71.3,47.57,272.97,4.29,2.61,77.0,12.0,12.0,7.0,19.0
CLL,6506.0,3255.0,3251.0,54.73,54.73,55.99,45.64,125.01,-0.5,0.11,59.0,0.0,2.0,3.0,5.0
FNT,6491.0,3246.0,3245.0,97.52,97.52,95.74,76.92,490.49,2.88,6.86,30.0,4.0,7.0,7.0,14.0
PFN,6486.0,3242.0,3244.0,77.58,77.58,78.33,71.26,279.43,7.19,14.18,59.0,4.0,8.0,4.0,12.0
AZO,6404.0,3202.0,3202.0,53.24,53.24,53.67,35.65,157.7,2.05,5.86,148.0,2.0,3.0,3.0,6.0
PSC,6351.0,3174.0,3177.0,84.08,84.08,86.29,144.59,500.59,3.15,2.97,49.0,4.0,8.0,5.0,13.0
SUN,6318.0,3201.0,3117.0,55.24,55.24,60.39,75.11,220.02,3.75,-0.43,217.0,10.0,3.0,2.0,5.0
STT,6231.0,3116.0,3115.0,178.43,178.43,179.39,155.98,1136.52,3.45,6.13,30.0,12.0,9.0,10.0,19.0
SGU,6208.0,3107.0,3101.0,74.85,74.85,77.82,157.43,278.41,5.38,2.81,37.0,5.0,6.0,4.0,10.0
MFE,6125.0,3063.0,3062.0,80.64,80.64,79.76,61.87,380.51,0.36,3.47,28.0,5.0,2.0,2.0,4.0
SBN,6055.0,3027.0,3028.0,71.61,71.61,73.55,53.49,289.26,6.41,20.19,86.0,2.0,5.0,7.0,12.0
TYR,6047.0,3025.0,3022.0,52.4,52.4,55.17,40.44,109.95,-2.1,-0.2,63.0,0.0,3.0,2.0,5.0
DAB,6028.0,3013.0,3015.0,104.88,104.88,102.68,96.3,523.22,10.73,6.2,40.0,11.0,6.0,6.0,12.0
EKO,5998.0,3007.0,2991.0,55.4,55.4,60.33,86.09,211.49,5.09,1.46,61.0,1.0,2.0,3.0,5.0
TRI,5960.0,2980.0,2980.0,68.19,68.19,68.58,50.47,223.65,5.89,9.57,121.0,2.0,5.0,3.0,8.0
BFL,5514.0,2758.0,2756.0,50.5,50.5,56.47,67.52,147.29,4.82,-1.13,51.0,0.0,4.0,4.0,8.0
ACT,5467.0,2736.0,2731.0,52.24,52.24,55.81,39.36,102.02,-0.62,-0.18,62.0,0.0,2.0,3.0,5.0
MLI,5444.0,2722.0,2722.0,80.75,80.75,78.1,86.45,358.03,7.98,10.9,92.0,4.0,7.0,6.0,13.0
GTF,5360.0,2680.0,2680.0,85.55,85.55,88.01,99.23,516.69,0.02,3.11,52.0,3.0,4.0,4.0,8.0
CHO,5301.0,2649.0,2652.0,60.79,60.79,61.0,45.94,225.44,1.94,4.99,83.0,1.0,4.0,6.0,10.0
RDM,5164.0,2588.0,2576.0,66.68,66.68,69.64,108.48,230.33,5.48,0.96,42.0,1.0,3.0,3.0,6.0
ABI,5054.0,2529.0,2525.0,60.49,60.49,63.6,54.27,176.71,0.37,2.98,34.0,2.0,3.0,5.0,8.0
LIH,5012.0,2506.0,2506.0,193.47,193.47,196.98,181.38,1580.79,0.57,-0.8,14.0,7.0,3.0,4.0,7.0
KTN,4956.0,2479.0,2477.0,81.34,81.34,81.68,65.54,437.4,4.74,6.32,85.0,17.0,4.0,4.0,8.0
PIE,4934.0,2466.0,2468.0,192.71,192.71,191.43,172.26,1278.78,0.54,1.96,15.0,1.0,5.0,7.0,12.0
GNV,4861.0,2431.0,2430.0,83.04,83.04,85.31,63.63,300.03,6.69,12.49,56.0,3.0,4.0,2.0,6.0
KOA,4770.0,2386.0,2384.0,226.3,226.3,231.23,211.38,1857.06,0.1,0.28,6.0,4.0,5.0,5.0,10.0
SJT,4755.0,2379.0,2376.0,78.58,78.58,80.1,73.17,242.42,-1.7,-0.43,41.0,2.0,2.0,2.0,4.0
MLB,4711.0,2354.0,2357.0,93.8,93.8,95.78,70.77,455.42,5.37,6.71,26.0,1.0,3.0,3.0,6.0
LRD,4598.0,2300.0,2298.0,82.54,82.54,83.84,63.49,353.4,2.7,3.1,35.0,5.0,2.0,2.0,4.0
RDD,4485.0,2243.0,2242.0,64.45,64.45,67.0,134.09,198.95,7.63,1.21,40.0,2.0,4.0,2.0,6.0
TVC,4420.0,2211.0,2209.0,62.51,62.51,61.23,43.41,220.25,7.01,8.97,45.0,1.0,5.0,5.0,10.0
FSM,4414.0,2207.0,2207.0,74.54,74.54,76.7,53.48,228.0,-1.21,-0.14,46.0,2.0,1.0,1.0,2.0
CSG,4396.0,2197.0,2199.0,44.13,44.13,44.94,26.39,83.0,2.51,10.42,101.0,0.0,1.0,7.0,8.0
MTJ,4379.0,2188.0,2191.0,76.46,76.46,79.14,101.17,347.07,6.23,3.92,30.0,1.0,8.0,7.0,15.0
CLD,4274.0,2139.0,2135.0,36.23,36.23,39.66,26.01,85.99,4.99,-1.35,42.0,1.0,2.0,3.0,5.0
LAW,4262.0,2132.0,2130.0,57.82,57.82,59.21,35.58,140.0,-3.15,0.11,42.0,2.0,1.0,1.0,2.0
SMX,4257.0,2131.0,2126.0,48.8,48.8,55.59,43.02,135.01,3.04,-2.53,48.0,3.0,4.0,4.0,8.0
CPR,4240.0,2121.0,2119.0,79.95,79.95,84.15,163.99,291.6,6.87,4.3,35.0,3.0,4.0,2.0,6.0
TWF,4124.0,2034.0,2090.0,50.53,50.53,55.07,48.62,172.55,8.59,1.52,85.0,0.0,4.0,15.0,19.0
SPS,4115.0,2059.0,2056.0,52.35,52.35,54.19,29.27,113.0,-2.14,-1.11,38.0,0.0,1.0,1.0,2.0
GTR,3972.0,1985.0,1987.0,72.54,72.54,76.0,48.02,270.84,7.56,7.41,60.0,1.0,4.0,4.0,8.0
BMI,3907.0,1954.0,1953.0,80.77,80.77,75.78,57.66,349.74,7.42,10.65,78.0,2.0,3.0,3.0,6.0
CMI,3891.0,1948.0,1943.0,53.48,53.48,50.14,32.94,135.0,3.91,10.34,99.0,2.0,1.0,1.0,2.0
RST,3818.0,1910.0,1908.0,57.32,57.32,56.68,37.88,203.36,-0.23,5.15,48.0,2.0,2.0,2.0,4.0
FCA,3731.0,1865.0,1866.0,77.23,77.23,78.79,76.79,440.0,-0.02,0.76,10.0,9.0,5.0,3.0,8.0
BIS,3692.0,1846.0,1846.0,79.33,79.33,85.93,62.02,417.58,-0.5,-0.19,18.0,2.0,2.0,2.0,4.0
DHN,3636.0,1818.0,1818.0,56.06,56.06,58.74,38.93,170.96,6.06,12.52,35.0,0.0,2.0,2.0,4.0
PIH,3617.0,1806.0,1811.0,45.14,45.14,49.9,37.55,150.0,6.09,2.63,20.0,0.0,1.0,18.0,19.0
SWF,3608.0,1807.0,1801.0,138.27,138.27,138.18,116.51,719.3,4.35,8.24,73.0,7.0,4.0,3.0,7.0
TXK,3591.0,1796.0,1795.0,66.34,66.34,68.1,62.83,190.79,-1.01,-0.59,59.0,1.0,3.0,5.0,8.0
FAY,3541.0,1770.0,1771.0,84.63,84.63,84.15,65.01,330.89,6.21,13.68,43.0,2.0,3.0,4.0,7.0
MCN,3512.0,1753.0,1759.0,43.6,43.6,45.04,22.46,80.25,7.33,11.75,79.0,0.0,9.0,16.0,25.0
LNK,3496.0,1746.0,1750.0,87.63,87.63,87.03,62.7,445.91,5.97,9.84,38.0,4.0,5.0,3.0,8.0
OXR,3494.0,1750.0,1744.0,34.25,34.25,39.32,21.82,49.0,3.48,-2.42,48.0,0.0,1.0,1.0,2.0
BRO,3472.0,1736.0,1736.0,73.67,73.67,76.5,57.19,308.0,0.89,1.44,24.0,5.0,1.0,2.0,3.0
LSE,3302.0,1651.0,1651.0,53.73,53.73,53.32,35.9,181.68,1.34,5.25,61.0,1.0,2.0,2.0,4.0
BPT,3202.0,1601.0,1601.0,39.43,39.43,41.7,22.83,79.0,-0.34,-0.04,18.0,0.0,1.0,1.0,2.0
MEI,3152.0,1578.0,1574.0,69.6,69.6,71.98,45.05,260.66,8.62,7.2,62.0,10.0,7.0,3.0,10.0
EFD,3144.0,1572.0,1572.0,31.86,31.86,27.65,14.52,28.0,-0.97,5.19,35.0,0.0,1.0,1.0,2.0
LCH,3093.0,1546.0,1547.0,47.09,47.09,45.98,30.15,127.0,0.39,-2.11,14.0,0.0,1.0,1.0,2.0
DRO,3091.0,1549.0,1542.0,74.27,74.27,77.44,150.6,286.48,6.83,3.83,29.0,1.0,3.0,2.0,5.0
VLD,2962.0,1481.0,1481.0,66.02,66.02,70.1,48.86,207.87,5.8,5.97,47.0,1.0,3.0,2.0,5.0
SCE,2910.0,1455.0,1455.0,51.28,51.28,57.91,36.76,133.0,0.96,3.24,45.0,1.0,1.0,1.0,2.0
ABY,2899.0,1449.0,1450.0,53.3,53.3,54.56,34.92,145.96,5.93,6.85,21.0,0.0,2.0,2.0,4.0
BQK,2847.0,1423.0,1424.0,62.28,62.28,63.05,41.15,238.0,5.09,7.35,33.0,0.0,1.0,2.0,3.0
MOD,2763.0,1383.0,1380.0,31.26,31.26,33.63,21.44,78.01,6.99,-1.29,80.0,1.0,2.0,1.0,3.0
BTM,2727.0,1377.0,1350.0,65.19,65.19,69.26,144.66,356.71,4.9,4.82,85.0,1.0,3.0,3.0,6.0
YUM,2702.0,1351.0,1351.0,67.98,67.98,72.22,154.13,236.93,4.3,-0.68,11.0,1.0,2.0,1.0,3.0
HLN,2606.0,1301.0,1305.0,62.64,62.64,66.36,91.83,337.65,0.51,-1.21,18.0,7.0,4.0,4.0,8.0
SIT,2592.0,1296.0,1296.0,54.01,54.01,54.1,38.42,227.43,4.92,4.38,14.0,16.0,3.0,3.0,6.0
GGG,2579.0,1289.0,1290.0,59.09,59.09,59.55,39.33,140.0,-4.98,-1.16,23.0,2.0,1.0,1.0,2.0
DLH,2414.0,1207.0,1207.0,49.19,49.19,50.22,32.47,144.0,1.62,4.49,24.0,1.0,1.0,1.0,2.0
CEC,2402.0,1203.0,1199.0,55.61,55.61,60.35,77.54,159.41,7.11,-1.43,25.0,11.0,3.0,3.0,6.0
BGM,2368.0,1184.0,1184.0,71.42,71.42,76.06,56.52,238.0,2.7,7.04,48.0,1.0,1.0,1.0,2.0
BET,2350.0,1175.0,1175.0,65.8,65.8,68.35,56.28,399.0,10.01,7.24,67.0,2.0,1.0,1.0,2.0
MOT,2208.0,1104.0,1104.0,84.02,84.02,84.24,68.08,449.0,-1.65,4.87,8.0,1.0,1.0,1.0,2.0
LYH,2191.0,1095.0,1096.0,87.88,87.88,95.99,72.1,388.37,2.85,0.46,48.0,0.0,2.0,2.0,4.0
HTS,2188.0,1095.0,1093.0,74.72,74.72,77.15,57.31,342.02,4.85,4.97,47.0,4.0,5.0,2.0,7.0
EGE,2184.0,1093.0,1091.0,156.44,156.44,158.87,125.91,1014.97,2.43,6.65,8.0,16.0,13.0,13.0,26.0
CIC,2183.0,1092.0,1091.0,54.51,54.51,57.65,73.46,153.0,5.27,-0.91,11.0,0.0,1.0,1.0,2.0
ATW,2174.0,1087.0,1087.0,92.09,92.09,95.0,74.26,411.0,0.96,5.77,42.0,3.0,1.0,1.0,2.0
OME,2148.0,1074.0,1074.0,75.7,75.7,78.47,66.38,468.07,11.96,5.44,53.0,6.0,2.0,2.0,4.0
DBQ,2145.0,1074.0,1071.0,50.09,50.09,47.55,31.08,147.0,1.62,10.6,31.0,3.0,1.0,1.0,2.0
OTZ,2144.0,1072.0,1072.0,65.68,65.68,68.0,56.4,379.66,11.14,7.71,58.0,9.0,2.0,2.0,4.0
CDC,2140.0,1070.0,1070.0,51.43,51.43,55.66,86.29,200.38,3.64,0.46,22.0,0.0,2.0,4.0,6.0
IYK,2140.0,1074.0,1066.0,43.12,43.12,49.84,33.87,122.98,1.23,-4.34,27.0,0.0,2.0,1.0,3.0
FLO,2112.0,1056.0,1056.0,69.74,69.74,72.23,50.15,272.76,7.21,4.88,25.0,2.0,3.0,3.0,6.0
GFK,1795.0,898.0,897.0,63.33,63.33,63.49,48.11,284.0,0.43,4.0,14.0,2.0,1.0,1.0,2.0
VCT,1792.0,896.0,896.0,49.75,49.75,51.06,42.71,123.08,3.63,0.79,24.0,1.0,2.0,1.0,3.0
VIS,1729.0,869.0,860.0,32.53,32.53,37.28,38.67,62.01,1.23,1.48,51.0,0.0,2.0,2.0,4.0
AVP,1728.0,865.0,863.0,128.58,128.58,132.0,101.31,625.43,9.59,13.92,56.0,3.0,3.0,3.0,6.0
COD,1670.0,839.0,831.0,83.27,83.27,89.08,172.33,297.59,5.68,3.48,14.0,4.0,4.0,2.0,6.0
EYW,1622.0,809.0,813.0,117.29,117.29,116.08,97.38,644.8,17.25,9.18,20.0,4.0,4.0,7.0,11.0
IPL,1495.0,744.0,751.0,50.62,50.62,54.5,62.07,146.96,3.19,-1.25,6.0,9.0,3.0,2.0,5.0
PSG,1452.0,726.0,726.0,28.02,28.02,30.66,19.65,77.0,14.11,8.87,54.0,19.0,2.0,2.0,4.0
YAK,1452.0,726.0,726.0,42.97,42.97,43.42,34.44,206.0,5.68,8.33,24.0,19.0,2.0,2.0,4.0
WRG,1452.0,726.0,726.0,24.65,24.65,26.52,15.84,56.5,8.49,6.85,47.0,12.0,2.0,2.0,4.0
ADQ,1452.0,726.0,726.0,49.71,49.71,51.56,40.36,252.0,9.99,6.75,51.0,0.0,1.0,1.0,2.0
CDV,1451.0,726.0,725.0,42.7,42.7,43.54,33.42,186.5,6.73,7.95,25.0,0.0,2.0,2.0,4.0
BRW,1449.0,724.0,725.0,76.59,76.59,79.32,69.4,503.0,10.15,2.29,19.0,3.0,1.0,1.0,2.0
DUT,1378.0,689.0,689.0,108.75,108.75,112.01,101.11,792.0,15.06,10.34,167.0,11.0,1.0,1.0,2.0
HDN,1286.0,643.0,643.0,132.63,132.63,131.22,105.64,813.28,12.58,2.31,7.0,3.0,8.0,8.0,16.0
STX,1261.0,630.0,631.0,206.34,206.34,204.75,181.66,1348.08,-0.51,3.2,5.0,3.0,3.0,4.0,7.0
SCC,808.0,404.0,404.0,93.7,93.7,96.91,84.49,600.32,2.83,3.31,26.0,0.0,2.0,2.0,4.0
ITO,714.0,357.0,357.0,45.48,45.48,47.0,34.93,216.0,-2.23,-2.31,0.0,0.0,1.0,1.0,2.0
AKN,694.0,347.0,347.0,63.25,63.25,66.42,54.77,367.71,8.54,3.47,8.0,6.0,3.0,2.0,5.0
WYS,663.0,333.0,330.0,61.34,61.34,76.06,153.65,272.61,1.63,-5.14,11.0,1.0,2.0,1.0,3.0
MQT,621.0,311.0,310.0,56.53,56.53,58.96,40.0,207.23,4.93,22.59,17.0,1.0,2.0,2.0,4.0
BQN,588.0,294.0,294.0,235.51,235.51,236.55,212.09,1585.0,2.91,10.03,2.0,0.0,1.0,1.0,2.0
DLG,566.0,283.0,283.0,56.26,56.26,58.37,47.35,329.0,12.15,6.29,20.0,1.0,1.0,2.0,3.0
GUC,458.0,229.0,229.0,127.03,127.03,127.03,107.01,794.14,-1.67,-4.36,2.0,1.0,3.0,3.0,6.0
LWB,386.0,193.0,193.0,81.4,81.4,85.0,64.03,369.0,2.23,1.66,0.0,0.0,1.0,1.0,2.0
ACK,386.0,193.0,193.0,75.66,75.66,74.83,56.45,218.0,7.21,11.84,5.0,1.0,1.0,1.0,2.0
ACY,264.0,132.0,132.0,67.17,67.17,82.73,49.95,274.0,1.12,-6.74,5.0,0.0,1.0,1.0,2.0
GST,182.0,91.0,91.0,25.17,25.17,26.0,13.63,41.0,1.1,3.78,1.0,0.0,1.0,1.0,2.0
ADK,148.0,74.0,74.0,127.51,127.51,136.58,117.38,917.76,19.12,14.24,6.0,0.0,2.0,2.0,4.0
ERI,123.0,61.0,62.0,78.92,78.92,82.0,60.97,316.0,-2.27,12.07,2.0,0.0,1.0,1.0,2.0
MKK,122.0,61.0,61.0,22.26,22.26,27.0,14.26,46.0,-3.47,-6.07,4.0,0.0,1.0,1.0,2.0
LNY,122.0,61.0,61.0,15.95,15.95,15.92,7.74,27.0,-5.72,-0.85,3.0,1.0,1.0,1.0,2.0
FMN,4.0,2.0,2.0,33.0,33.0,69.0,23.5,148.0,185.5,,0.0,0.0,1.0,2.0,3.0
SUX,3.0,1.0,2.0,41.0,41.0,143.0,19.0,80.0,420.0,,0.0,0.0,1.0,1.0,2.0
PUB,2.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,1.0,1.0
CYS,2.0,1.0,1.0,40.0,40.0,25.0,22.0,90.0,185.0,,0.0,0.0,1.0,1.0,2.0
BFF,2.0,1.0,1.0,41.0,41.0,79.0,194.0,152.0,131.0,,0.0,0.0,1.0,1.0,2.0
OGD,1.0,1.0,0.0,,,112.0,,28.0,0.0,,0.0,1.0,1.0,0.0,1.0
